District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Kodagu,12.3788215,75.4995338,393,2045,27,1625
Kishtwar,33.32,75.77,357,681,3,321
Kishanganj,26.0794,87.9372,311,2654,10,2333
Kiphire,25.8693604,94.78328,2,16,0,14
Kinnaur,31.5918868,77.8155324,42,121,0,79
Khunti,23.014,85.2724,258,1139,3,878
Khowai,24.0698766,91.5860436,425,1391,18,948
Khordha,20.1795664,85.6243513,6254,27271,104,20913
Kheda,22.7502665,72.6808005,72,1114,16,1026
Khawzawl,23.5199921,93.1686917,1,4,0,3
Khargone,21.8253,75.6107,565,2525,34,1926
Khandwa,21.83,76.33,211,1222,28,983
Khagaria,25.5,86.48,153,2536,9,2374
Kendujhar,21.6333,85.5833,475,2984,10,2499
Kendrapara,20.5,86.4167,1067,3309,4,2238
Kaushambi,25.3590343,81.3959884,221,1279,15,1043
Katni,23.8236225,80.3648563,210,757,11,536
Katihar,25.5333,87.5833,362,5222,11,4849
Kathua,33.37,75.52,485,1422,13,924
Kasganj,27.82,78.65,277,1185,2,906
Kasaragod,12.5014,74.99,1943,7421,38,5440
Karur,10.95,78.0833,442,2281,33,1806
Karnal,29.69,76.9883,1846,5788,78,3864
Kargil,34.5583783,76.0995081,436,1527,26,1065
Karauli,26.5,77.0167,120,710,8,582
Karaikal,10.916,79.833,425,1432,21,986
Kapurthala,31.38,75.38,592,2191,106,1493
Kanyakumari,8.096,77.5541,814,11197,210,10173
Kanpur Nagar,26.440017,79.6836875,4671,20770,536,15563
Kanpur Dehat,26.4581717,79.5688029,412,1551,18,1121
Kannur,11.8675,75.3576,2160,6511,36,4315
Kannauj,27.07,79.92,288,2080,21,1771
Kangra,32.1,76.2667,626,1567,20,921
Kandhamal,20.1268692,83.4826576,433,3017,17,2567
Kancheepuram,12.8308,79.7078,1310,19768,288,18170
Kamle,23.540539,84.7202354,0,3,0,3
Kallakurichi,11.7389,78.9739,1014,8146,90,7042
Kalimpong,27.06,88.47,134,682,3,545
Kalahandi,20.1362199,85.0804276,578,2149,5,1566
Kalaburagi,17.3333,76.8333,2394,14760,248,12118
Kaithal,29.8017,76.3967,431,1853,28,1394
Kaimur,24.9068342,83.5272809,125,1469,9,1335
Kabeerdham,22.02,81.25,914,1324,5,405
Junagadh,21.52,70.47,299,2265,29,1937
Jodhpur,26.2703424,72.9605029,2243,15568,125,13200
Jind,29.3161,76.3142,461,1391,12,918
Jhunjhunu,28.1256,75.3978,174,1300,7,1119
Jharsuguda,21.85,84.0333,700,2694,1,1993
Jhargram,22.45,86.98,103,414,2,309
Jhansi,25.4486,78.5696,1065,5887,119,4703
Jhalawar,24.6,76.15,284,2131,9,1838
Jhajjar,28.6061,76.6564,476,1951,19,1456
Jhabua,22.77,74.6,209,1043,11,823
Jehanabad,25.2116895,84.9720594,200,2716,8,2508
Jaunpur,25.7333,82.6833,523,4424,57,3844
Jashpur,21.7171098,83.0647352,240,765,2,523
Janjgir Champa,21.9704423,82.5322362,1424,2653,15,1214
Jamui,24.92,86.22,166,1893,6,1721
Jamtara,23.95,86.8,54,575,1,520
