,District,Confirmed_Cases,Recovered_Cases,Death_Toll,Active_Cases
535,Azamgarh,3964,3322,62,580
536,Baghpat,1137,926,21,190
537,Bahraich,2641,2200,44,397
538,Ballia,5067,4173,62,832
539,Balrampur,1240,1050,21,169
540,Banda,1478,1061,15,402
541,Barabanki,5221,4060,43,1118
542,Bareilly,8706,6655,128,1923
543,Basti,3038,2524,60,454
544,Bhadohi,1395,1124,11,260
545,Bijnor,2469,1963,28,478
546,Budaun,2232,1755,22,455
547,Bulandshahr,3049,2362,50,637
548,Chandauli,2701,2089,24,588
549,Chitrakoot,985,790,5,190
550,Deoria,5151,4199,56,896
551,Etah,1445,1000,12,433
552,Etawah,3244,2352,46,846
553,Farrukhabad,1864,1397,32,435
554,Fatehpur,1840,1406,27,407
555,Firozabad,2203,1740,51,412
556,Gautam Buddha Nagar,10482,8506,48,1928
557,Ghaziabad,11335,9404,73,1858
558,Ghazipur,3402,3032,36,334
559,Gonda,3228,2763,33,432
560,Gorakhpur,13119,10197,196,2726
561,Hamirpur,870,688,15,167
562,Hapur,2204,1815,35,354
563,Hardoi,3662,2815,51,796
564,Hathras,824,696,7,121
565,Jalaun,1816,1448,17,351
566,Jaunpur,4424,3844,57,523
567,Jhansi,5887,4703,119,1065
568,Kannauj,2080,1771,21,288
569,Kanpur Dehat,1551,1121,18,412
570,Kanpur Nagar,20770,15563,536,4671
571,Kasganj,1185,906,2,277
572,Kaushambi,1279,1043,15,221
573,Kushinagar,4209,3550,26,633
574,Lakhimpur Kheri,3387,2591,42,754
575,Lalitpur,2036,1423,30,583
576,Lucknow,41091,30841,539,9711
577,Maharajganj,4050,3302,55,693
578,Mahoba,677,547,6,124
579,Mainpuri,2273,1667,38,568
580,Mathura,3257,2338,61,858
581,Mau,2045,1711,21,313
582,Meerut,6839,4580,184,2075
583,Mirzapur,2058,1727,26,305
584,Moradabad,6990,5510,125,1355
585,Muzaffarnagar,3491,2315,52,1124
586,Pilibhit,2947,2576,49,322
587,Pratapgarh,2900,2058,37,805
588,Prayagraj,14926,10987,223,3716
589,Rae Bareli,2238,1534,58,646
590,Rampur,4339,3695,34,610
591,Saharanpur,5938,4222,81,1635
592,Sambhal,1934,1635,36,263
593,Sant Kabir Nagar,2285,2031,28,226
594,Shahjahanpur,4672,3606,63,1003
595,Shamli,1760,1307,13,440
596,Shrawasti,837,749,11,77
597,Siddharthnagar,2729,2340,27,362
598,Sitapur,2990,2366,26,598
599,Sonbhadra,2309,1755,21,533
600,Sultanpur,2699,2193,42,464
601,Unnao,2869,2158,57,654
602,Varanasi,11105,8859,211,2035
603,Almora,882,759,4,119
604,Bageshwar,385,250,1,134
605,Chamoli,562,391,0,171
606,Champawat,586,314,2,270
607,Dehradun,8391,4667,214,3510
608,Haridwar,7180,4805,69,2306
609,Nainital,4398,3044,79,1275
610,Pauri Garhwal,1187,617,10,560
611,Pithoragarh,718,467,4,247
612,Rudraprayag,520,291,1,228
613,Tehri Garhwal,1789,1352,2,435
614,Udham Singh Nagar,6419,5060,48,1311
615,Uttarkashi,1390,1068,4,318
616,Alipurduar,3428,2911,33,484
617,Bankura,4082,3341,32,709
618,Birbhum,2860,2448,22,390
619,Cooch Behar,4445,3820,24,601
620,Dakshin Dinajpur,4599,4133,29,437
621,Darjeeling,6498,5631,93,774
622,Hooghly,10436,8825,178,1433
623,Howrah,15496,14032,468,996
624,Jalpaiguri,4891,4248,42,601
625,Jhargram,414,309,2,103
626,Kalimpong,682,545,3,134
627,Kolkata,47628,41819,1500,4309
628,Malda,5734,5182,50,502
629,Murshidabad,4609,3859,54,696
630,Nadia,5666,4680,67,919
631,North 24 Parganas,42669,37355,914,4400
632,Paschim Bardhaman,5559,4547,46,966
633,Paschim Medinipur,7470,5890,83,1497
634,Purba Bardhaman,3844,3218,31,595
635,Purba Medinipur,8796,7540,92,1164
636,Purulia,2315,1754,11,550
637,South 24 Parganas,14058,12439,258,1361
638,Uttar Dinajpur,2901,2553,27,321
